date,startup_name,industry,sub_industry,city,investors,investment_type,amount_usd,investor_list
2019-12-14,Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed Round,2000000.0,['Ruizheng Investment']
2019-12-11,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000.0,['Manipal Education and Medical Group (MEMG)']
2019-12-20,Lenskart,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000.0,['SoftBank Vision Fund']
2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000000.0,"['Sequoia', ' CapitalG', ' Accel']"
2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486000.0,"['Sauce.vc', ' Rainforest Ventures']"
2019-11-13,Sunstone Eduversity Pvt,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000.0,"['Prime Venture Partners', ' LetsVenture', ' PS1 Venture and GlobalLogic co-founder Rajul Garg']"
2019-11-17,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,0.0,['RB Investments']
2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000000.0,"['DG Daiwa Ventures', ' DG Incubation']"
2019-11-15,Ninjacart,B2B Marketing,Agritech,Bangalore,Trifecta Capital Advisors,Debt Funding,26000000.0,['Trifecta Capital Advisors']
2019-11-20,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,17411265.0,['FinTech']
2019-11-12,Supergaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000.0,['Dream Incubator']
2019-11-20,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000.0,"['Altimeter Capital', ' Sutter Hill Ventures']"
2019-11-11,Ebikego,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,300000.0,['Startup Buddy']
2019-11-19,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,220000000.0,['Amour Infrastructure']
2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000.0,"['Ackermans & van Haaren', ' HealthQuad', ' Rebright Partners', ' Toppan Printing']"
2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000.0,"['Matrix Partners', ' Stellaris Venture Partners', ' Kalaari Capital']"
2019-11-25,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000000000.0,['Vijay Shekhar Sharma']
2019-10-04,Dunzo,Customer Service,Delivery Service,Bangalore,Lightbox,Series D,45000000.0,['Lightbox']
2019-10-02,Udaan,B2B,Business development,Bangalore,"Altimeter Capital, DST Global",Series D,585000000.0,"['Altimeter Capital', ' DST Global']"
2019-10-21,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0.0,['Ayushmann Khurana']
2019-09-05,Fpl Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000.0,"['Matrix Partners India', ' Sequoia India']"
2019-09-04,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000.0,['SAIF Partners']
2019-09-04,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6000000.0,['TIW Private Equity']
2019-09-04,3Rdflix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,5000000.0,['Exfinity Venture Partners']
2019-09-04,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000.0,['Breakthrough Energy Ventures']
2019-09-04,Myelin Foundry,Information Technology,Deep-technology,Bangalore,Endiya Partners,Seed,1000000.0,['Endiya Partners']
2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000.0,['A91 Partners']
2019-09-04,Goqii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,450000000.0,['Bennett Coleman and Company Ltd (BCCL)']
2019-09-03,Vyapar App,Accounting,Mobile-based Accounting Software,Bangalore,"India Quotient, Axilor Ventures",Series A,5000000.0,"['India Quotient', ' Axilor Ventures']"
2019-08-01,Cardekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000.0,['SC GG India Mobility Holdings LLC']
2019-08-01,Progcap,Finance,Supply Chain Management,Delhi,Sequoia India,Series A,5000000.0,['Sequoia India']
2019-08-01,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000.0,"['Azim Premji', ' Binny Bansal']"
2019-08-01,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000.0,['Pine Labs Pte Ltd']
2019-08-12,Meesho,E-Commerce,Social Commerce,Bangalore,Naspers,Series D,125000000.0,['Naspers']
2019-08-13,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,11000000.0,['MS Dhoni']
2019-08-13,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,51000000.0,['March Capital Partners']
2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,37000000.0,['XL Innovate']
2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,500000.0,"['Rashmi Daga (founder', ' FreshMenu)', ' Raveen Sastry (co-founder', ' Myntra) and Mitesh Shah (finance chief', ' BookMyShow)']"
2019-08-23,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,110000000.0,['RPS Ventures']
2019-08-22,Indwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,15000000.0,['Tiger Global Management']
2019-08-21,Hungerbox,Food and Beverage,B2B Foodtech,Bangalore,One97 Communications Ltd.,Series C,6590000.0,['One97 Communications Ltd.']
2019-08-23,Admitkard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,1000000.0,['Growth DNA']
2019-08-19,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0.0,['Vir Sanghvi']
2019-08-19,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,70000000.0,['Softbank Vision Fund']
2019-08-27,Rapido Bike Taxi,Transportation,Bike Taxi,Bangalore,Westbridge Capital,Series B,3900000000.0,['Westbridge Capital']
2019-07-02,Renewbuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000.0,"['Lok Capital', ' IIFL Wealth']"
2019-07-02,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,2500000.0,['WaterBridge Ventures']
2019-07-01,Wizcounsel,Compliance,Consulting,Delhi,Kapil Dev,Angel,145000.0,['Kapil Dev']
2019-07-03,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000.0,"['DIG Investment Ab', ' Deshe Holdings', ' Samih Toukan and Hussam Khoury']"
2019-07-01,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38080000.0,['March Capital Partners']
2019-07-04,Daalchini Technologies,Food and Beverage,Digital Vending Machine,Delhi,Artha Venture,Seed Round,500000.0,['Artha Venture']
2019-07-10,"""Byju\\'S""",EdTech,Education,Bangalore,Qatar Investment Authority,Private Equity Round,150000000.0,['Qatar Investment Authority']
2019-07-11,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.0,"['Composite Capital Management', ' Sequoia Capital India', ' Tiger Global Management']"
2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,16000000.0,['Undisclosed']
2019-07-10,Indus Os,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,5750000.0,['Ventureast']
2019-07-10,Healthassure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000.0,['Blume Ventures']
2019-07-09,House Of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000000.0,['Binny Bansal']
2019-07-08,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,319605.0,['Multiple Angel Investors']
2019-06-05,Nobroker,E-Commerce,Real Estate,Bangalore,General Atlantic,Series C,51000000.0,['General Atlantic']
2019-06-04,Bira91,Food and Beverage,Brewery,Delhi,Anicut Capital,Debt Funding,10000000.0,['Anicut Capital']
2019-06-03,Avail Finance,Finance,FinTech,Bangalore,Matrix Partners,Series A,9000000.0,['Matrix Partners']
2019-06-04,Bharatpe,Finance,FinTech,Delhi,Insight Partners,Series B,75000000.0,['Insight Partners']
2019-06-04,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000.0,"['Triton Investment Advisors', ' Pidilite Industries director Ajay Parekh']"
2019-06-03,Agara Labs,Deep-Tech,Artificial Intelligence,Bangalore,Blume Ventures and RTP Global,pre-Series A,2500000.0,['Blume Ventures and RTP Global']
2019-06-06,Chakr Innovation,Energy,Renewable Energy,Delhi,IAN Fund,Series A,26000000.0,['IAN Fund']
2019-06-06,Pratilipi,Digital Media,E-Books,Bangalore,Qiming Venture Partners,Series B,15109500.0,['Qiming Venture Partners']
2019-06-10,Bolo App,Digital Media,Video Platform,Bangalore,Nexus Venture Partners,Seed Funding,430200.0,['Nexus Venture Partners']
2019-06-10,Okcredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,15500000.0,['Tiger Global Management']
2019-06-06,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,52000000.0,['WestBridge Capital']
2019-06-08,Vogo Automotive Pvt,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,3584000.0,['Alteria Capital']
2019-06-04,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000.0,['Mumbai Angels']
2019-05-06,Ola Electric,Transport,Cabs,Bangalore,Tata Sons,Series A,0.0,['Tata Sons']
2019-05-06,Saahas Zero Waste,Waste Management Service,Optimization,Bangalore,C4D Partners,Venture - Series Unknown,868600.0,['C4D Partners']
2019-05-05,Styledotme,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0.0,"['Indian Angel Network and other angel investors', ' Innov8 founder Ritesh Malik', ' Josh Talks founders Supriya Paul and Shobha Banga', ' and former Hero Corporate president Rohit Chanana']"
2019-05-01,Blackbuck,Transport,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000.0,"['Goldman Sachs Investment Partners and Silicon Valley-based Accel', ' Wellington', ' Sequoia Capital', ' B Capital', ' LightStreet', ' Sands Capital and International Finance Corporation', '']"
2019-05-02,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000.0,['Tiger Global Management']
2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bangalore,Sachin Bansal,Series C,51000000.0,['Sachin Bansal']
2019-05-28,Freshvnf,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,140000000.0,['Equanimity Ventures']
2019-05-30,Glowroad,E-commerce,Retail,Bangalore,"Korea Investment Partners, Vertex Ventures",Series B,11500000.0,"['Korea Investment Partners', ' Vertex Ventures']"
2019-05-31,Bira91,Food and Beverage,Brewery,Delhi,Sixth Sense Ventures,Series B,5600000.0,['Sixth Sense Ventures']
2019-04-16,Kuvera,Finance,Wealth Management,Bangalore,Eight Roads,Series A,45000000.0,['Eight Roads']
2019-04-12,Medlife,E-commerce,Online Medicine,Bangalore,Prasid Uno Family Trust,Private Equity,17000000.0,['Prasid Uno Family Trust']
2019-04-10,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665.0,"['Unilever', ' Beehive Capital Advisor', ' ABCOM Investments', ' Parekh Marine Transport', '']"
2019-04-13,Tripoto,Social Media,Travel,Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375.0,"['Orchid India', ' Hornbill Orchid India Fund', ' Chiratae Ventures (formerly IDG Ventures)', ' 3one4 Capital', ' Lasmer NV']"
2019-04-12,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,200000.0,['Unnamed angel investors']
2019-04-11,Setu,Fintech,Banking,Bangalore,Lightspeed India Partners,Seed Funding,3500000.0,['Lightspeed India Partners']
2019-04-10,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,6320820.0,['Milestone']
2019-04-10,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495.0,['Supera Pte Ltd']
2019-04-10,Unacademy,Edtech,E-learning,Bangalore,Kalyan Krishnamurthy,Seed/ Angel Funding,307000.0,['Kalyan Krishnamurthy']
2019-04-11,Clevertap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000.0,"['Sequoia India', ' Tiger Global Management', ' Accel Partners']"
2019-04-19,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,3000000.0,['Sixth Sense Ventures']
2019-04-19,Krazybee,E-commerce,Lending Platform,Bangalore,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,14342000.0,"['BAC Acquisitions', ' Unifi AIF', ' BRD Securities', ' Northern R Capital']"
2019-04-17,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,5000000.0,['New Atlantic Ventures']
2019-04-17,Increff,Technology,Supply-chain technology solutions,Bangalore,"021 Capita, Binny Bansal",Series A,3000000.0,"['021 Capita', ' Binny Bansal']"
2019-02-01,Fleetx,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,0.0,['India Quotient and LetsVenture\\\\xe2\\\\x80\\\\x99s Angel Fund']
2019-02-08,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000.0,"['Sequoia Capital and Temasek Holdings', ' EDBI', ' Burda Principal Investments', ' and Sofina']"
2019-02-13,Nanoclean Global,Nanotechnology,Anti-Pollution,Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000.0,"['LetsVenture', ' PitchRight Venture', ' 91SpringBoard', ' AL Nour International Holdings and Mark V Investments']"
2018-02-14,Oyorooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,100000000.0,['DiDi Chuxing']
2019-01-03,Cardekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000.0,"['Sequoia India', ' Hillhouse Capital', ' Alphabet\\\\xe2\\\\x80\\\\x99s growth investment arm Capital G and Axis Bank']"
2019-01-04,Vyome Therapeutics Inc,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000.0,"['Iron Pillar', ' Perceptive Advisors', ' Romulus Capital and Kalaari Capital']"
2019-01-04,Samunnati Financial Intermediation & Services Pvt,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,5000000.0,"['MASSIF', ' a Dutch government fund']"
2018-12-04,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,700000.0,['Stellaris Venture Partners']
2018-12-01,Urbanclap Technologies Pvt,Services Platform,Home services marketplace,Delhi,Steadview Capital and Vy Capital.,Series D,50000000.0,['Steadview Capital and Vy Capital.']
2018-12-02,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,800000.0,['Individual Investors']
2018-12-02,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,572000.0,['Individual Investors']
2018-12-04,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000.0,['Omphalos Ventures India LLP']
2018-12-06,Shopkirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000000.0,"['Info Edge', ' AET Fund', ' Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.']"
2018-12-06,Buildsupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000.0,"['Venture Highway', ' GREE Ventures', ' Space Matrix', ' Individual Investors']"
2018-11-01,Godesi,Food and Beverage,Regional Flavours,Bangalore,Lead Angels Network,Seed/ Angel Funding,138995.0,['Lead Angels Network']
2018-11-03,Veritas Finance Ltd,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000.0,"['Norwest Venture Partners', ' CDC Group', ' the UK\\\\xe2\\\\x80\\\\x99s Development Finance Institution and P Surendra Pai']"
2018-11-06,Meesho,Ecommerce,Social Commerce,Bangalore,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000.0,"['Shunwei Capital', ' DST Partners and RPS Ventures']"
2018-11-08,Mobile Premier League,Gaming,Mobile e-Sports,Bangalore,Undisclosed,Series A,500000.0,['Undisclosed']
2018-11-08,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,1000000.0,"['RB Investments', ' Singapore']"
2018-11-12,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,1000000.0,['Tiger Global']
2018-11-12,Milkbasket,Food,Micro-delivery grocery service,Delhi,Mayfield Fund,Series B,1300000.0,['Mayfield Fund']
2018-11-13,Driveu,Transport,On-Demand Drivers,Bangalore,Stevens Creek Ventures,Mezzanine,1000000.0,['Stevens Creek Ventures']
2018-11-14,Cleansecar,Services,Car Wash,Bangalore,Venture Catalysts,Seed/ Angel Funding,500000.0,['Venture Catalysts']
2018-11-19,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,300000000.0,['SoftBank Vision Fund']
2018-11-20,Healthifyme,Health and Wellness,Wellness Coach,Bangalore,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),6000000.0,"['Sistema Asia Fund', ' VC Samsung NEXT', ' Chiratae Ventures', ' Inventus Capital', ' Blume Ventures and Innoven Capital.']"
2018-11-21,Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,278000.0,['Individual investors']
2018-11-22,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31000000.0,['Teachers Insurance and Annuity Association (TIAA)']
2018-11-22,Skillbox,Social Network,Art,Gurugram,Individual investors,Seed Funding,0.0,['Individual investors']
2018-11-23,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000.0,"['Stellaris Venture Partners and Kalaari Capital', ' Rajan Anandan from Google', ' Dilip Khandwelwal from SAP Labs India', ' and Amrish Rau from PayU India']"
2018-11-24,Engineer,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500000.0,"['Lakestar and Jungle Ventures', ' Softbank\\\\xe2\\\\x80\\\\x99s DeepCore.']"
2018-11-25,Incred Finance,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,42000000.0,"['Paragon Partners', ' Individual Investors']"
2018-11-25,Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,1700000.0,['Bertelsmann India Investments']
2018-10-01,Northmist,Fashion,Mens Wear,Delhi,Prashant Jaiswal,Seed/ Angel Funding,0.0,['Prashant Jaiswal']
2018-10-02,Origo Commodities India Pvt,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,11000000.0,"['Cooperative Oikocredit', ' Caspian and Hivos-Triodos Fund']"
2018-10-04,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,8200000.0,['Ravi Viswanathan']
2018-10-05,Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,3000000.0,['ZigExN']
2018-10-11,Innov8,Real Estate,Co-Working,Delhi,Credence Family Office,Pre-Series A,4000000.0,['Credence Family Office']
2018-10-12,Blackbuck,Logistics Tech,Largest Trucking Platform,Bangalore,Sequoia Capital India,Private Funding,14680000.0,['Sequoia Capital India']
2018-10-12,Letstransport,Logistics Tech,Book Trucks Online,Bangalore,Fosun International,Series C,12000000.0,['Fosun International']
2018-09-01,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000.0,"['Sistema Asia Fund', ' Sistema JSFC and Tanncam Investment']"
2018-09-03,Udaan,B2B Platform,Logistics and Shipping,Bangalore,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225000000.0,['DST Global and Lightspeed Venture Partners\\\\xe2\\\\x80\\\\x99 global fund.']
2018-09-03,Daily Hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bangalore,Falcon Edge,Private Equity,6390000.0,['Falcon Edge']
2018-09-04,Happygoeasy,Consumer Internet,Online Travel Agecy,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,0.0,"['Korea Investment Partners (KIP)', ' Samsung and China-based CITIC Capital and others']"
2018-09-05,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,157200000.0,['Lighthouse']
2018-09-05,Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI\\xc2\\xa0,Private Equity,0.0,['KDDI\\\\xc2\\\\xa0']
2018-09-06,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000.0,"['Tencent', ' Kalaari Capital and Private equity firm Multiples Alternate Asset Management']"
2018-09-10,Mamaearth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,4000000.0,['Stellaris Ventures & Others']
2018-09-11,Autogrid,Technology,AI-Based Energy Optimisation and Control Provider,Bangalore,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,32000000.0,"['CLP Holdings Group', ' Innogy', ' \\\\xc3\\\\x98rstead', ' and Tenaska']"
2018-09-11,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,5500000.0,['InnoVen Capital']
2018-09-11,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000.0,"['Shunwei Capital', 'Quotient', ' Mayfield & Others']"
2018-09-12,Kissht,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000000.0,"['Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund', ' Fosun RZ Capital', ' Ventureast', ' and Endiya Partners.\\\\n\\\\n']"
2018-08-01,Dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,400000.0,"['Farm To Fork', ' Arts Alliance', ' The Syndicate Fund', ' Sven Hensen', ' Zeroth and Artesian Venture Partners']"
2018-08-01,Healthfin,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,0.0,"['Axilor', ' Sprout Venture Partners and others']"
2018-08-02,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000.0,['Xiaomi and Sequoia Capital India']
2018-08-03,Ziffyhomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,120000.0,['Y Combinator']
2018-08-07,Shopx,Consumer Internet,Assisted E-commerce Platform,Bangalore,Fung Strategic Holdings,Private Equity,35000000.0,['Fung Strategic Holdings']
